source_location,rack_type,volume,PR_to_EO_sla_range_80,PR_to_EO_accuracy_80,PR_to_EO_sla_range_90,PR_to_EO_accuracy_90,PR_to_EO_default_sla,PR_to_EO_default_accuracy,PR_to_EO_avg_deviation,EO_to_PO_sla_range_80,EO_to_PO_accuracy_80,EO_to_PO_sla_range_90,EO_to_PO_accuracy_90,EO_to_PO_default_sla,EO_to_PO_default_accuracy,EO_to_PO_avg_deviation,PO_to_Ready_sla_range_80,PO_to_Ready_accuracy_80,PO_to_Ready_sla_range_90,PO_to_Ready_accuracy_90,PO_to_Ready_default_sla,PO_to_Ready_default_accuracy,PO_to_Ready_avg_deviation,Ready_to_Picked_sla_range_80,Ready_to_Picked_accuracy_80,Ready_to_Picked_sla_range_90,Ready_to_Picked_accuracy_90,Ready_to_Picked_default_sla,Ready_to_Picked_default_accuracy,Ready_to_Picked_avg_deviation,Picked_to_Delivered_sla_range_80,Picked_to_Delivered_accuracy_80,Picked_to_Delivered_sla_range_90,Picked_to_Delivered_accuracy_90,Picked_to_Delivered_default_sla,Picked_to_Delivered_default_accuracy,Picked_to_Delivered_avg_deviation,Delivered_to_Handoff_sla_range_80,Delivered_to_Handoff_accuracy_80,Delivered_to_Handoff_sla_range_90,Delivered_to_Handoff_accuracy_90,Delivered_to_Handoff_default_sla,Delivered_to_Handoff_default_accuracy,Delivered_to_Handoff_avg_deviation
BDT-GDL,GL.BERING.21CF5,45,"(5.0, 12.0)",80.0,"(5.0, 25.0)",97.77777777777777,10,40.0,7.033972396645276,"(1.0, 6.0)",82.22222222222221,"(0, 6.0)",100.0,2,66.66666666666666,2.4366726775202565,"(0, 0)",0.0,"(0, 0)",0.0,18,0.0,14.637777021427544,"(0, 0)",0.0,"(0, 0)",0.0,2,33.33333333333333,2.1852602405298507,"(6.0, 20.0)",80.0,"(0, 0)",0.0,10,33.33333333333333,4.181592314623018,"(0, 13.0)",82.22222222222221,"(0, 18.0)",91.11111111111111,5,24.444444444444443,6.837899607038758
BDT-GDL,GL.BERING.21CF8,90,"(5.0, 11.0)",82.22222222222221,"(5.0, 12.0)",94.44444444444444,8,31.11111111111111,3.0554795132973442,"(1.0, 6.0)",98.88888888888889,"(1.0, 6.0)",98.88888888888889,2,68.88888888888889,2.190690779727828,"(0, 0)",0.0,"(0, 0)",0.0,21,12.222222222222221,12.040074886121069,"(0, 0)",0.0,"(0, 0)",0.0,2,33.33333333333333,2.096941372706299,"(6.0, 27.0)",80.0,"(0, 0)",0.0,10,33.33333333333333,4.418183369661101,"(0, 14.0)",84.44444444444444,"(0, 18.0)",91.11111111111111,6,15.555555555555555,7.343744737294579
BDT-STR,GL.BERING.21CF5,83,"(0, 6.0)",85.54216867469879,"(0, 7.0)",90.36144578313254,3,62.65060240963856,2.487150522489338,"(1.0, 8.0)",87.95180722891565,"(0, 8.0)",90.36144578313254,5,45.78313253012048,3.2971420551600783,"(0, 0)",0.0,"(0, 0)",0.0,33,3.614457831325301,22.67779781330635,"(0, 0)",0.0,"(0, 0)",0.0,0,62.65060240963856,0.7538002414856741,"(0, 0)",0.0,"(0, 0)",0.0,22,19.27710843373494,6.664210857198799,"(0, 32.0)",80.72289156626506,"(0, 0)",0.0,5,22.89156626506024,7.821909643165955
BDT-STR,GL.BERING.21CF7,52,"(1.0, 6.0)",84.61538461538461,"(1.0, 7.0)",96.15384615384616,3,73.07692307692307,2.245827369401383,"(1.0, 9.0)",100.0,"(1.0, 9.0)",100.0,5,42.30769230769231,3.209384805467022,"(0, 0)",0.0,"(0, 0)",0.0,30,13.461538461538462,10.713481108532743,"(0, 0)",0.0,"(0, 0)",0.0,2,63.46153846153846,1.5086285728094284,"(0, 0)",0.0,"(0, 0)",0.0,15,9.615384615384617,10.13512692179026,"(0, 0)",0.0,"(0, 0)",0.0,0,61.53846153846154,2.455153310442706
BDT-STR,GL.BERING.21CF8,164,"(0, 7.0)",87.1951219512195,"(0, 8.0)",93.90243902439023,3,59.756097560975604,2.5048632775155455,"(2.0, 8.0)",83.53658536585365,"(1.0, 8.0)",98.17073170731707,4,55.487804878048784,2.5184314048723793,"(7.0, 67.0)",80.48780487804879,"(0, 0)",0.0,32,1.8292682926829267,22.18937504622891,"(0, 0)",0.0,"(0, 0)",0.0,0,63.41463414634146,0.9435295682761347,"(0, 0)",0.0,"(0, 0)",0.0,22,21.341463414634145,6.672447832506402,"(0, 32.0)",81.09756097560977,"(0, 0)",0.0,6,20.121951219512198,8.33640686970415
BDT-STR,GLACIER.BERINGP.21CF1,56,"(2.0, 19.0)",83.92857142857143,"(0, 0)",0.0,7,28.57142857142857,5.565344663584619,"(1.0, 8.0)",83.92857142857143,"(0, 0)",0.0,3,57.14285714285714,2.595836540874401,"(2.0, 72.0)",83.92857142857143,"(0, 0)",0.0,21,7.142857142857142,20.933178565315004,"(0, 0)",0.0,"(0, 0)",0.0,2,64.28571428571429,3.6301582307783504,"(0, 0)",0.0,"(0, 0)",0.0,19,8.928571428571429,10.081685603875208,"(0, 42.0)",80.35714285714286,"(0, 0)",0.0,913,0.0,6395.0911504729265
BDT-STR,GLACIER.BERINGP.21CF4,104,"(1.0, 11.0)",82.6923076923077,"(2.0, 19.0)",91.34615384615384,6,23.076923076923077,5.774045718592471,"(0, 6.0)",85.57692307692307,"(1.0, 8.0)",90.38461538461539,3,62.5,2.4832109523081938,"(2.0, 66.0)",83.65384615384616,"(2.0, 72.0)",91.34615384615384,21,7.6923076923076925,20.754783309761688,"(0, 0)",0.0,"(0, 0)",0.0,3,47.11538461538461,13.84430235190389,"(0, 0)",0.0,"(0, 0)",0.0,19,9.615384615384617,10.463561110401711,"(0, 42.0)",81.73076923076923,"(0, 0)",0.0,7,17.307692307692307,11.582012997677472
FOX-BUD,EBS.FLASH8.16,27,"(0, 0)",0.0,"(0, 0)",0.0,13,0.0,15.533401099166994,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(0, 2.0)",81.48148148148148,"(0, 0)",0.0,1,81.48148148148148,2.171955640511064,"(0, 4.0)",81.48148148148148,"(0, 0)",0.0,1,70.37037037037037,1.2414207752110245,"(3.0, 13.0)",81.48148148148148,"(3.0, 15.0)",92.5925925925926,8,48.148148148148145,3.6528527664461556,"(0, 0.0)",81.48148148148148,"(0, 2.0)",96.29629629629629,0,96.29629629629629,1.0834155129908258
FOX-BUD,EBS.LEGO_DAGNY.16C,5,"(15.0, 22.0)",80.0,"(15.0, 120.0)",100.0,40,0.0,44.71241438347967,"(0, 0.0)",80.0,"(0, 6.0)",100.0,1,80.0,2.6832815729997477,"(56.0, 63.0)",80.0,"(0, 0)",0.0,59,40.0,2.8722813232690143,"(0, 3.0)",80.0,"(0, 0)",0.0,1,80.0,1.7320508075688772,"(9.0, 9.0)",80.0,"(0, 0)",0.0,9,80.0,0.0,"(0, 0.0)",80.0,"(0, 0)",0.0,0,80.0,0.0
FOX-BUD,EC2.C6GN.19,307,"(0, 37.0)",80.45602605863192,"(0, 92.0)",90.22801302931596,16,4.88599348534202,24.47280667943653,"(0, 1.0)",80.13029315960912,"(0, 5.0)",91.85667752442997,2,89.57654723127035,7.280106964910343,"(0, 0)",0.0,"(0, 0)",0.0,33,10.749185667752444,18.645361479690553,"(0, 0)",0.0,"(0, 0)",0.0,2,63.51791530944625,5.083592533710327,"(1.0, 35.0)",80.13029315960912,"(0, 0)",0.0,12,21.49837133550489,14.26984534990183,"(0, 40.0)",80.13029315960912,"(0, 0)",0.0,2,76.8729641693811,8.266836052157622
